instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
293244165,1145485,BANKEX26JANFUT,"BANKEX",0,2026-01-29,0,0.05,30,FUT,BFO-FUT,BFO
298595077,1166387,BANKEX26FEBFUT,"BANKEX",0,2026-02-26,0,0.05,30,FUT,BFO-FUT,BFO
211574533,826463,BANKEX26MARFUT,"BANKEX",0,2026-03-25,0,0.05,30,FUT,BFO-FUT,BFO
292786437,1143697,SENSEX26JANFUT,"SENSEX",0,2026-01-29,0,0.05,20,FUT,BFO-FUT,BFO
298364421,1165486,SENSEX26FEBFUT,"SENSEX",0,2026-02-26,0,0.05,20,FUT,BFO-FUT,BFO
211344645,825565,SENSEX26MARFUT,"SENSEX",0,2026-03-25,0,0.05,20,FUT,BFO-FUT,BFO
291110661,1137151,SENSEX5026JANFUT,"SENSEX50",0,2026-01-29,0,0.05,75,FUT,BFO-FUT,BFO
297558533,1162338,SENSEX5026FEBFUT,"SENSEX50",0,2026-02-26,0,0.05,75,FUT,BFO-FUT,BFO
212559877,830312,SENSEX5026MARFUT,"SENSEX50",0,2026-03-25,0,0.05,75,FUT,BFO-FUT,BFO
210566405,822525,BANKEX26JAN56500CE,"BANKEX",0,2026-01-29,56500,0.05,30,CE,BFO-OPT,BFO
291115269,1137169,BANKEX26JAN61100CE,"BANKEX",0,2026-01-29,61100,0.05,30,CE,BFO-OPT,BFO
291119109,1137184,BANKEX26JAN63400CE,"BANKEX",0,2026-01-29,63400,0.05,30,CE,BFO-OPT,BFO
291121925,1137195,BANKEX26JAN65700CE,"BANKEX",0,2026-01-29,65700,0.05,30,CE,BFO-OPT,BFO
291127813,1137218,BANKEX26JAN70400PE,"BANKEX",0,2026-01-29,70400,0.05,30,PE,BFO-OPT,BFO
291155973,1137328,BANKEX26JAN71100CE,"BANKEX",0,2026-01-29,71100,0.05,30,CE,BFO-OPT,BFO
291187205,1137450,BANKEX26JAN59700PE,"BANKEX",0,2026-01-29,59700,0.05,30,PE,BFO-OPT,BFO
291215877,1137562,BANKEX26JAN65100PE,"BANKEX",0,2026-01-29,65100,0.05,30,PE,BFO-OPT,BFO
291217925,1137570,BANKEX26JAN67400PE,"BANKEX",0,2026-01-29,67400,0.05,30,PE,BFO-OPT,BFO
291218949,1137574,BANKEX26JAN69700PE,"BANKEX",0,2026-01-29,69700,0.05,30,PE,BFO-OPT,BFO
