instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
273417,1068,MCXGOLDEX,"MCXGOLDEX",0,,0,0,1,EQ,INDICES,MCX
292105,1141,MCXMETLDEX,"MCXMETLDEX",0,,0,0,1,EQ,INDICES,MCX
292361,1142,MCXCRUDEX,"MCXCRUDEX",0,,0,0,1,EQ,INDICES,MCX
292617,1143,MCXCOPRDEX,"MCXCOPRDEX",0,,0,0,1,EQ,INDICES,MCX
292873,1144,MCXCOMPDEX,"MCXCOMPDEX",0,,0,0,1,EQ,INDICES,MCX
293129,1145,MCXBULLDEX,"MCXBULLDEX",0,,0,0,1,EQ,INDICES,MCX
293385,1146,MCXENERGY,"MCXENERGY",0,,0,0,1,EQ,INDICES,MCX
293641,1147,MCXAGRI,"MCXAGRI",0,,0,0,1,EQ,INDICES,MCX
293897,1148,MCXMETAL,"MCXMETAL",0,,0,0,1,EQ,INDICES,MCX
294153,1149,MCXSILVDEX,"MCXSILVDEX",0,,0,0,1,EQ,INDICES,MCX
416265,1626,MCXCOMDEX,"MCX INDEX MCXCOMDEX",0,,0,0,1,EQ,INDICES,MCX
119299335,466013,ALUMINI25DECFUT,"ALUMINI",0,2025-12-31,0,0.05,1,FUT,MCX-FUT,MCX
119739399,467732,ALUMINI26JANFUT,"ALUMINI",0,2026-01-30,0,0.05,1,FUT,MCX-FUT,MCX
122154247,477165,ALUMINI26FEBFUT,"ALUMINI",0,2026-02-27,0,0.05,1,FUT,MCX-FUT,MCX
124839687,487655,ALUMINI26MARFUT,"ALUMINI",0,2026-03-31,0,0.05,1,FUT,MCX-FUT,MCX
125129991,488789,ALUMINI26APRFUT,"ALUMINI",0,2026-04-30,0,0.05,1,FUT,MCX-FUT,MCX
119299591,466014,ALUMINIUM25DECFUT,"ALUMINIUM",0,2025-12-31,0,0.05,1,FUT,MCX-FUT,MCX
119739143,467731,ALUMINIUM26JANFUT,"ALUMINIUM",0,2026-01-30,0,0.05,1,FUT,MCX-FUT,MCX
122154503,477166,ALUMINIUM26FEBFUT,"ALUMINIUM",0,2026-02-27,0,0.05,1,FUT,MCX-FUT,MCX
124839943,487656,ALUMINIUM26MARFUT,"ALUMINIUM",0,2026-03-31,0,0.05,1,FUT,MCX-FUT,MCX
125130247,488790,ALUMINIUM26APRFUT,"ALUMINIUM",0,2026-04-30,0,0.05,1,FUT,MCX-FUT,MCX
119304711,466034,CARDAMOM25DECFUT,"CARDAMOM",0,2025-12-31,0,1,1,FUT,MCX-FUT,MCX
119743239,467747,CARDAMOM26JANFUT,"CARDAMOM",0,2026-01-30,0,1,1,FUT,MCX-FUT,MCX
122158855,477183,CARDAMOM26FEBFUT,"CARDAMOM",0,2026-02-27,0,1,1,FUT,MCX-FUT,MCX
124842759,487667,CARDAMOM26MARFUT,"CARDAMOM",0,2026-03-31,0,1,1,FUT,MCX-FUT,MCX
125132551,488799,CARDAMOM26APRFUT,"CARDAMOM",0,2026-04-30,0,1,1,FUT,MCX-FUT,MCX
119299847,466015,COPPER25DECFUT,"COPPER",0,2025-12-31,0,0.05,1,FUT,MCX-FUT,MCX
119739655,467733,COPPER26JANFUT,"COPPER",0,2026-01-30,0,0.05,1,FUT,MCX-FUT,MCX
122154759,477167,COPPER26FEBFUT,"COPPER",0,2026-02-27,0,0.05,1,FUT,MCX-FUT,MCX
124840199,487657,COPPER26MARFUT,"COPPER",0,2026-03-31,0,0.05,1,FUT,MCX-FUT,MCX
125130503,488791,COPPER26APRFUT,"COPPER",0,2026-04-30,0,0.05,1,FUT,MCX-FUT,MCX
118569479,463162,COTTON25DECFUT,"COTTON",0,2025-12-31,0,10,1,FUT,MCX-FUT,MCX
118569735,463163,COTTON26JANFUT,"COTTON",0,2026-01-30,0,10,1,FUT,MCX-FUT,MCX
119303943,466031,COTTON26FEBFUT,"COTTON",0,2026-02-27,0,10,1,FUT,MCX-FUT,MCX
119743495,467748,COTTON26MARFUT,"COTTON",0,2026-03-31,0,10,1,FUT,MCX-FUT,MCX
125132807,488800,COTTON26APRFUT,"COTTON",0,2026-04-30,0,10,1,FUT,MCX-FUT,MCX
119743751,467749,COTTONOIL25DECFUT,"COTTONOIL",0,2025-12-31,0,0.1,1,FUT,MCX-FUT,MCX
122158599,477182,COTTONOIL26JANFUT,"COTTONOIL",0,2026-01-30,0,0.1,1,FUT,MCX-FUT,MCX
124843015,487668,COTTONOIL26FEBFUT,"COTTONOIL",0,2026-02-27,0,0.1,1,FUT,MCX-FUT,MCX
125133063,488801,COTTONOIL26MARFUT,"COTTONOIL",0,2026-03-31,0,0.1,1,FUT,MCX-FUT,MCX
119020807,464925,CRUDEOIL26JANFUT,"CRUDEOIL",0,2026-01-16,0,1,1,FUT,MCX-FUT,MCX
119555335,467013,CRUDEOIL26FEBFUT,"CRUDEOIL",0,2026-02-19,0,1,1,FUT,MCX-FUT,MCX
121033991,472789,CRUDEOIL26MARFUT,"CRUDEOIL",0,2026-03-19,0,1,1,FUT,MCX-FUT,MCX
124544519,486502,CRUDEOIL26APRFUT,"CRUDEOIL",0,2026-04-20,0,1,1,FUT,MCX-FUT,MCX
125002247,488290,CRUDEOIL26MAYFUT,"CRUDEOIL",0,2026-05-18,0,1,1,FUT,MCX-FUT,MCX
127768327,499095,CRUDEOIL26JUNFUT,"CRUDEOIL",0,2026-06-18,0,1,1,FUT,MCX-FUT,MCX
119021063,464926,CRUDEOILM26JANFUT,"CRUDEOILM",0,2026-01-16,0,1,1,FUT,MCX-FUT,MCX
119555591,467014,CRUDEOILM26FEBFUT,"CRUDEOILM",0,2026-02-19,0,1,1,FUT,MCX-FUT,MCX
